complex-name,gb-complex-etot,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg
1afk,-5765.7136,-8422.51,-1610.2245,34.8636,-4825.7948,-8591.4524,-1745.8036,35.0281,-968.0476,419.3284,-146.3957,3.2956,-7851.9612,2131.4573,-8422.51,-1595.7721,34.8636,-8114.5071,2172.1043,-8591.4524,-1730.1871,35.0281,276.6341,-5.7338,419.3284,-140.2562,3.2956,-1.134057222
1afl,-5804.817,-8275.5757,-1761.9833,35.0705,-4850.7452,-8584.8641,-1798.2246,35.391,-974.0349,431.3242,-109.2461,3.1679,-7821.5457,2171.6991,-8275.5757,-1752.7395,35.0705,-8124.6694,2204.8632,-8584.8641,-1780.0595,35.391,321.7106,-4.2124,431.3242,-108.5691,3.1679,-1.102421988
1ai4,-29424.1346,-55211.1125,-6311.2026,139.833,-29322.8972,-55173.853,-6272.2149,140.3571,-114.188,-1.3713,-90.0604,1.7099,-68986.7219,-7683.8253,-55211.1125,-6231.6171,139.833,-68887.6734,-7658.7559,-55173.853,-6195.4217,140.3571,-90.7714,-1.1552,-1.3713,-89.9548,1.7099,-0.549774439
1ai5,-29384.3549,-55340.0035,-6240.7194,139.5674,-29305.537,-55306.7977,-6211.6576,140.0817,-84.0186,10.466,-80.2596,1.811,-69044.7075,-7695.1761,-55340.0035,-6149.0954,139.5674,-68957.9399,-7666.0571,-55306.7977,-6125.1667,140.0817,-66.8763,-0.8763,10.466,-78.277,1.811,-0.788234201
1ai7,-29280.0852,-55160.6492,-6255.8975,139.2221,-29265.3379,-55168.0693,-6258.7753,139.4613,-24.6698,9.2827,-10.4441,1.2975,-68880.5771,-7693.8354,-55160.6492,-6165.3147,139.2221,-68873.0693,-7674.2931,-55168.0693,-6170.1682,139.4613,-1.0452,-0.2417,9.2827,-11.3836,1.2975,-0.845126982
1aid,-7229.3527,-13832.6489,-1948.3313,49.2846,-7223.1559,-13902.1,-1911.5802,50.2069,-39.1082,54.4709,-59.2132,3.6084,-17456.4469,-1747.2936,-13832.6489,-1925.7889,49.2846,-17441.2132,-1699.3397,-13902.1,-1889.9804,50.2069,-7.0405,-4.6433,54.4709,-60.4766,3.6084,-0.943664357
1aj7,-14683.4881,-31114.2868,-3917.2396,96.6909,-14451.6597,-30979.2015,-4031.9231,97.1974,-260.2325,52.8709,-104.8364,2.6532,-34526.7785,440.1084,-31114.2868,-3949.2909,96.6909,-34458.2373,482.2441,-30979.2015,-4058.4773,97.1974,-49.9266,-2.4516,52.8709,-102.999,2.6532,-0.811952704
1ajn,-29393.3179,-54872.2954,-6556.1346,139.3038,-29316.5096,-54909.1969,-6492.3644,139.8199,-92.9072,32.2455,-77.5133,1.7842,-68890.7608,-7697.3715,-54872.2954,-6460.3977,139.3038,-68837.6517,-7668.9306,-54909.1969,-6399.3441,139.8199,-41.9834,-0.3895,32.2455,-75.6235,1.7842,-0.580190308
1ajp,-29430.2005,-55241.6848,-6306.8052,139.5741,-29335.7227,-55212.9966,-6259.651,140.0681,-118.9601,-2.1161,-100.3991,1.6963,-69006.2897,-7677.1766,-55241.6848,-6227.0024,139.574,-68907.3007,-7653.7846,-55212.9966,-6180.5876,140.0681,-101.5255,-0.3917,-2.1161,-100.7141,1.6963,-0.481200951
1ajq,-29449.5484,-55296.9571,-6318.1094,139.4012,-29382.7686,-55252.8928,-6286.429,139.7457,-70.2031,-0.6255,-80.4278,1.5408,-69077.8124,-7702.186,-55296.9571,-6218.0704,139.4012,-68977.1842,-7676.3032,-55252.8928,-6187.7339,139.7457,-78.5057,-0.8336,-0.6255,-78.5874,1.5408,-0.876562742
1ajv,-7175.348,-14133.3581,-1917.3401,47.1622,-7116.9922,-13895.4728,-2028.8974,48.9985,-138.4946,-175.925,-36.6942,4.316,-17803.8816,-1822.7999,-14133.3581,-1894.8857,47.1622,-17582.4132,-1733.6304,-13895.4728,-2002.3085,48.9985,-221.5875,-10.7034,-175.925,-39.2752,4.316,-1.226288618
1ajx,-7109.8141,-14014.2458,-1897.9794,47.1808,-7142.5274,-13861.7579,-2003.3651,49.0092,-53.66,-105.9202,-33.4653,4.0817,-17663.3926,-1823.4003,-14014.2458,-1872.9273,47.1808,-17523.8126,-1734.9597,-13861.7579,-1976.1042,49.0092,-152.1987,-13.2025,-105.9202,-37.1577,4.0817,-1.240876669
1alw,-14278.9352,-21534.3589,-6767.8216,81.682,-14254.3994,-21518.4229,-6676.4223,82.0908,-43.3183,-46.8588,-81.5113,1.8434,-31542.2125,-3390.7516,-21534.3589,-6698.7839,81.682,-31407.1345,-3367.4512,-21518.4229,-6603.3512,82.0908,-127.0807,-1.925,-46.8588,-80.1404,1.8434,-1.124924626
1amw,-18477.9866,-29688.6693,-6236.8029,93.5172,-17746.2319,-30080.5129,-6242.0664,94.4524,-771.2255,419.9111,-66.0213,2.8113,-39926.4538,-4144.5454,-29688.6693,-6186.7564,93.5172,-40277.2984,-4099.7632,-30080.5129,-6191.4747,94.4524,352.4998,-5.1495,419.9111,-65.0731,2.8113,-0.907756207
1apv,-9729.2469,-19940.8435,-5977.8115,61.7734,-9784.016,-19691.0842,-6089.62,63.4742,-39.8636,-194.7663,-43.5899,4.0719,-28002.602,-2215.1405,-19940.8435,-5908.3914,61.7734,-27830.4921,-2134.9089,-19691.0842,-6067.9732,63.4742,-250.0257,-13.8664,-194.7663,-45.4649,4.0719,-1.318334746
1atl,-16835.3925,-26303.9172,-6416.0451,88.7827,-16875.5416,-26476.7575,-6185.2074,89.4081,-89.6162,-104.417,-86.9938,3.0226,-33413.7562,-870.9656,-26303.9172,-6327.6562,88.7827,-33324.7882,-820.2654,-26476.7575,-6117.1735,89.4081,-192.6318,-5.0601,-104.417,-86.1773,3.0226,-1.102421988
1avn,-9306.0047,-19530.4884,-2768.0414,58.5751,-9263.9005,-19568.6048,-2706.7181,58.6676,-52.6708,39.0479,-74.4886,1.5746,-24660.4455,-2468.8677,-19530.4884,-2719.6645,58.5751,-24627.5502,-2457.728,-19568.6048,-2659.885,58.6676,-32.1924,-0.9126,39.0479,-71.9024,1.5746,-0.816585932
1ax0,-15552.7632,-31704.5655,-6376.1682,98.806,-15513.1617,-31535.8612,-6404.6579,99.1117,-58.0522,-120.5427,-40.4809,2.0526,-42322.2411,-4539.7431,-31704.5655,-6176.7385,98.806,-42155.7032,-4513.2513,-31535.8612,-6205.7025,99.1117,-164.6919,-2.3544,-120.5427,-43.8475,2.0526,-0.684619803
1b05,-20121.2827,-39637.9908,-4859.0473,95.3518,-20217.4942,-39251.6786,-4962.8411,96.6088,34.7547,-315.2029,-33.5993,3.5701,-48847.973,-4560.8155,-39637.9908,-4744.5185,95.3518,-48473.2987,-4465.2768,-39251.6786,-4852.9521,96.6088,-355.3961,-9.3754,-315.2029,-34.3879,3.5701,-1.177744635
1b0h,-20187.9395,-39600.0033,-4967.9779,97.4554,-20285.153,-39199.4058,-5085.4065,98.9961,30.7462,-318.9296,-36.5412,4.2939,-48908.3403,-4554.6626,-39600.0033,-4851.1297,97.4554,-48519.3941,-4443.4769,-39199.4058,-4975.5075,98.9961,-363.3191,-11.6527,-318.9296,-37.0307,4.2939,-1.141264516
1b1h,-20058.3921,-39670.0204,-4738.6511,96.7852,-20075.9155,-39200.5096,-4824.9383,98.3445,-52.0696,-356.3003,-102.2899,4.2143,-48854.0941,-4646.8494,-39670.0204,-4634.0096,96.7852,-48372.9966,-4539.7287,-39200.5096,-4731.1028,98.3445,-463.2078,-10.8931,-356.3003,-100.2287,4.2143,-1.170112023
1b2h,-20367.8608,-39955.4173,-4820.1211,96.5227,-20246.8081,-38929.9703,-5278.4887,97.895,-166.0154,-184.9912,-432.2929,3.8696,-49156.8287,-4563.4099,-39955.4173,-4734.5241,96.5227,-48457.949,-4460.9781,-38929.9703,-5164.8956,97.895,-613.6487,-10.2701,-184.9912,-422.2571,3.8696,-0.907756207
1b32,-20214.4053,-39775.3097,-4742.4616,96.3047,-20101.6636,-38899.7973,-5074.9893,97.6937,-143.0478,-274.3206,-304.2893,3.93,-48991.7445,-4657.5326,-39775.3097,-4655.2069,96.3047,-48333.2581,-4555.0365,-38899.7973,-4976.118,97.6937,-577.0723,-10.3681,-274.3206,-296.3135,3.93,-1.17605687
1b3f,-20110.5048,-39683.6151,-4688.8107,95.8349,-20036.7133,-38775.099,-5097.3898,97.2231,-142.6489,-154.0539,-420.0625,3.9339,-48847.851,-4662.5293,-39683.6151,-4597.5415,95.8349,-48223.7415,-4555.9205,-38775.099,-4989.9451,97.2231,-572.1985,-10.6701,-154.0539,-411.4084,3.9339,-1.158042651
1b3g,-20213.1439,-39769.4273,-4887.0395,97.2888,-20250.6592,-39308.2121,-4981.7676,98.6717,-45.6673,-358.3961,-96.4346,3.7782,-48986.0106,-4546.3326,-39769.4273,-4767.5394,97.2888,-48529.8992,-4445.8293,-39308.2121,-4874.5295,98.6717,-458.9188,-9.9025,-358.3961,-94.3984,3.7782,-1.141264516
1b3h,-20210.3177,-39687.6041,-4929.8628,96.7008,-20234.5524,-39213.3636,-5026.5113,98.1701,-47.475,-357.6354,-97.2755,4.1398,-48971.0497,-4570.0006,-39687.6041,-4810.1458,96.7008,-48497.7995,-4463.19,-39213.3636,-4919.416,98.1701,-460.4058,-11.5316,-357.6354,-95.3787,4.1398,-1.095696538
1b3l,-20034.8242,-39127.0798,-5166.631,99.3029,-20118.5491,-38748.8743,-5269.2855,100.4655,30.7578,-300.0483,-32.9853,3.3527,-48603.181,-4502.6146,-39127.0798,-5072.7895,99.3029,-48253.9024,-4416.0221,-38748.8743,-5189.4715,100.4655,-337.9508,-7.9891,-300.0483,-33.2662,3.3527,-1.063953599
1b40,-20074.9869,-39497.0842,-4962.4337,95.735,-20162.7999,-39104.0994,-5071.8682,97.0197,30.5655,-310.848,-35.2445,4.0099,-48828.8957,-4576.5988,-39497.0842,-4850.9476,95.735,-48453.0152,-4472.4965,-39104.0994,-4973.439,97.0197,-353.4417,-10.629,-310.848,-35.9745,4.0099,-1.191078517
1b46,-20099.3037,-39328.8814,-5148.0876,96.3005,-20208.1851,-38972.9207,-5254.5493,97.5707,48.1285,-284.094,-31.0038,3.5755,-48844.6144,-4569.3545,-39328.8814,-5042.679,96.3005,-48500.6881,-4473.0772,-38972.9207,-5152.2608,97.5707,-321.2396,-9.7212,-284.094,-31,3.5755,-0.998355659
1b4h,-20330.4004,-40046.3341,-4725.8992,96.8302,-20250.6695,-39210.5657,-5045.3827,98.1524,-169.7212,-175.8459,-435.4686,3.717,-49152.4097,-4566.2429,-40046.3341,-4636.6629,96.8302,-48518.6064,-4463.9466,-39210.5657,-4942.2465,98.1524,-607.7037,-10.8809,-175.8459,-424.6939,3.717,-1.018469274
1b4z,-20056.8504,-39470.2663,-4860.2149,96.0113,-20051.8266,-38883.6947,-5055.3609,97.3072,-34.6379,-304.7538,-121.2409,3.6591,-48794.2849,-4659.8573,-39470.2663,-4760.1726,96.0113,-48301.0074,-4562.6628,-38883.6947,-4951.9571,97.3072,-429.3322,-9.9941,-304.7538,-118.2434,3.6591,-0.992646767
1b51,-20372.6991,-39966.9784,-4787.0435,97.3015,-20258.9618,-39173.0096,-5064.0261,98.5561,-152.5424,-255.0431,-305.4926,3.4898,-49110.6762,-4546.4213,-39966.9784,-4694.578,97.3015,-48482.5464,-4454.4271,-39173.0096,-4953.6658,98.5561,-558.7772,-9.0002,-255.0431,-298.2238,3.4898,-1.198450624
1b52,-20167.3241,-39766.7047,-4584.0032,95.9799,-20058.4306,-39010.0434,-4839.6677,97.2821,-156.6399,-260.5008,-293.1685,3.6239,-48669.8802,-4520.5411,-39766.7047,-4478.6142,95.9799,-48062.5256,-4423.2143,-39010.0434,-4726.55,97.2821,-553.0876,-9.5109,-260.5008,-286.6998,3.6239,-1.177744635
1b55,-28324.142,-40375.3198,-13502.5553,167.2484,-27493.5841,-39193.9786,-14273.3345,167.6245,-836.6919,-153.3631,-266.4823,2.7733,-58734.4872,-5186.0544,-40375.3198,-13340.3613,167.2484,-58293.4593,-5167.4431,-39193.9786,-14099.6621,167.6245,-416.2305,1.0951,-153.3631,-266.7358,2.7733,-1.200888
1b57,-23343.827,-50875.8245,-7623.5581,123.4417,-23209.8421,-50735.5282,-7665.4398,123.6223,-194.4926,-108.5755,-52.1351,1.6078,-65083.4614,-6838.0481,-50875.8245,-7493.0305,123.4417,-64968.4183,-6819.6895,-50735.5282,-7536.823,123.6223,-160.7303,-0.7505,-108.5755,-53.012,1.6078,-1.247664925
1b58,-20282.4988,-39766.8852,-4876.1061,96.9114,-20152.4108,-38928.2838,-5181.5373,98.3937,-170.7218,-271.9833,-307.3815,4.0785,-49017.6439,-4558.8746,-39766.8852,-4788.7956,96.9114,-48370.1574,-4453.0692,-38928.2838,-5087.1981,98.3937,-579.9971,-11.0173,-271.9833,-301.0749,4.0785,-1.131332009
1b5h,-20241.2115,-40092.5009,-4629.9129,96.7675,-20229.3077,-39341.4458,-4937.8217,98.0603,-65.1609,-136.3063,-364.9801,3.5902,-49097.1207,-4563.0439,-40092.5009,-4538.3433,96.7675,-48528.1143,-4465.0967,-39341.4458,-4819.6321,98.0603,-499.3604,-9.7092,-136.3063,-356.9352,3.5902,-1.076054849
1b5i,-20044.4745,-39635.169,-4676.8304,96.5599,-20070.9852,-39248.5137,-4787.524,97.8855,-33.3299,-298.9438,-41.9111,3.727,-48770.0151,-4656.7924,-39635.169,-4574.6136,96.5599,-48401.9281,-4558.7834,-39248.5137,-4692.5166,97.8855,-346.9389,-10.2335,-298.9438,-41.4886,3.727,-1.17181657
1b5j,-20225.825,-39839.7802,-4658.3689,95.5269,-20035.7264,-38967.1425,-4973.9504,96.9016,-225.7377,-278.7998,-319.1059,3.8357,-48973.0236,-4660.502,-39839.7802,-4568.2683,95.5269,-48293.7355,-4557.5652,-38967.1425,-4865.9294,96.9015,-595.4266,-9.872,-278.7998,-310.5905,3.8357,-1.203315515
1b6h,-20296.8589,-39992.2987,-4722.6096,96.0597,-20196.8492,-39155.5656,-5032.6935,97.3884,-141.2794,-280.7715,-292.2301,3.754,-49096.2731,-4567.2341,-39992.2987,-4632.8001,96.0597,-48447.3229,-4471.1957,-39155.5656,-4917.95,97.3884,-570.8802,-9.8338,-280.7715,-284.0289,3.754,-1.234010733
1b6j,-7226.4704,-13912.8309,-1818.437,48.7608,-7169.8815,-13439.7997,-1908.5982,51.0069,-153.902,-384.3239,-102.995,4.8895,-17470.3482,-1804.2042,-13912.8309,-1802.0738,48.7608,-16962.1029,-1686.6394,-13439.7997,-1886.6707,51.0069,-503.8398,-23.0187,-384.3239,-101.3868,4.8895,-1.241634723
1b6k,-7092.2514,-13780.7707,-2056.491,48.7284,-7068.9802,-13403.146,-2105.3579,51.0344,-64.8023,-280.7074,-96.6785,4.791,-17557.3534,-1788.5833,-13780.7707,-2036.7277,48.7284,-17103.3832,-1670.9323,-13403.146,-2080.3393,51.0344,-398.87,-23.0153,-280.7074,-99.9383,4.791,-1.300746114
1b6l,-7075.8939,-13517.2344,-2084.7978,48.6586,-7032.762,-13316.1618,-2131.9511,50.5372,-134.632,-160.0872,-91.3568,4.146,-17322.234,-1788.6352,-13517.2344,-2065.0231,48.6586,-17062.3961,-1691.3588,-13316.1618,-2105.4127,50.5372,-264.6493,-17.3211,-160.0872,-91.387,4.146,-1.269753309
1b7h,-20258.9721,-39914.4492,-4731.4402,97.4466,-20161.5901,-39049.6041,-5065.3917,98.815,-139.0679,-274.717,-303.1683,3.9372,-49009.237,-4560.425,-39914.4492,-4631.8094,97.4466,-48362.3968,-4460.9898,-39049.6041,-4950.618,98.815,-576.298,-9.8318,-274.717,-295.6865,3.9372,-1.249163053
1b8n,-11730.9875,-19065.1712,-2817.5497,58.3152,-11518.8264,-18983.1797,-2855.3106,58.9482,-210.5855,-1.4346,-44.1849,2.3313,-24475.6662,-2676.8757,-19065.1712,-2791.9346,58.3152,-24391.539,-2632.3451,-18983.1797,-2834.9625,58.9482,-49.6569,-3.4318,-1.4346,-47.1219,2.3313,-1.411966924
1b8o,-11607.6917,-19462.0189,-2711.2014,59.0072,-11481.5473,-19203.6164,-2808.5165,59.6877,-138.4122,-87.7496,-88.4981,2.212,-24774.2402,-2704.3657,-19462.0189,-2666.8628,59.0072,-24581.2797,-2655.8484,-19203.6164,-2781.5026,59.6877,-179.1456,-3.8199,-87.7496,-89.7881,2.212,-1.41877229
1b8y,-5816.5999,-9992.9581,-3450.42,42.361,-5798.166,-10088.4113,-3190.0937,43.458,-151.175,-207.0448,-94.8366,3.1702,-14909.3076,-1591.0855,-9992.9581,-3367.625,42.361,-14709.1087,-1530.6846,-10088.4113,-3133.4708,43.458,-298.8516,-1.2568,-207.0448,-93.7202,3.1702,-1.236308119
1b9j,-19959.3411,-39301.5832,-4920.7676,97.1183,-20058.8089,-38915.6423,-5038.7556,98.6176,32.0906,-306.7117,-33.9634,3.8457,-48656.2981,-4637.4712,-39301.5832,-4814.3619,97.1183,-48290.7827,-4540.1361,-38915.6423,-4933.6219,98.6176,-346.3795,-9.8676,-306.7117,-33.6458,3.8457,-1.071042289
1bai,-10443.8628,-16740.1849,-2931.5896,60.2994,-10391.4008,-16029.9922,-3044.0456,62.5709,-260.4086,-548.0456,-266.2277,6.3185,-21825.7356,-2240.3492,-16740.1849,-2905.5009,60.2994,-21130.3726,-2134.65,-16029.9922,-3028.3012,62.5709,-830.2545,-26.7787,-548.0456,-261.7487,6.3185,-1.224732197
1bcd,-9218.7987,-19705.6097,-2738.3752,58.4594,-9329.5877,-19700.1738,-2683.2124,58.722,43.7719,-54.5645,-74.5731,1.2592,-24820.7972,-2492.9912,-19705.6097,-2680.6556,58.4594,-24752.7609,-2474.8299,-19700.1738,-2636.4792,58.722,-124.9623,-0.0448,-54.5645,-71.6121,1.2592,-1.297993815
1bcu,-10507.9532,-16804.4889,-3614.918,61.3508,-10371.5958,-16831.4821,-3699.8624,61.654,-143.7985,152.6476,-50.6196,2.1652,-19598.3634,726.1147,-16804.4889,-3581.34,61.3508,-19674.9058,761.4389,-16831.4821,-3666.5166,61.654,101.6363,-2.1414,152.6476,-51.0351,2.1652,-0.712706053
1bdq,-6850.2431,-13425.4984,-2239.1115,48.4603,-6842.8185,-13445.1068,-2252.1419,50.4799,-128.9867,-17.6078,-77.6274,4.2923,-17340.221,-1752.4207,-13425.4984,-2210.7621,48.4603,-17277.1772,-1663.6369,-13445.1068,-2218.9134,50.4799,-108.7216,-16.0724,-17.6078,-79.3337,4.2923,-1.108127261
1bgq,-17729.6268,-29934.1699,-6234.3375,95.2258,-17634.3989,-30041.0161,-6265.7861,96.0976,-120.039,143.2893,-33.3642,2.6869,-40175.575,-4129.6041,-29934.1699,-6207.0268,95.2258,-40268.0527,-4086.2667,-30041.0161,-6236.8675,96.0976,109.656,-2.2318,143.2893,-34.0883,2.6869,-1.28896064
1bhf,-5237.8906,-7396.4947,-1487.3222,33.0499,-4879.1821,-6736.4203,-1418.7262,33.0307,-370.412,-190.2658,-555.0573,4.9683,-9816.042,-974.8864,-7396.4947,-1477.7109,33.0499,-9016.774,-907.0252,-6736.4203,-1406.3592,33.0307,-747.2365,-14.4661,-190.2658,-547.4729,4.9683,-0.886229235
1bhx,-10344.4716,-16400.0191,-3550.9431,58.2441,-10120.4736,-16229.5382,-3563.4917,58.5909,-228.7952,-78.0108,-88.8031,3.7377,-18940.4666,908.0305,-16400.0191,-3506.7222,58.2441,-18722.958,968.9991,-16229.5382,-3521.0099,58.5909,-170.7281,-9.4563,-78.0108,-86.9986,3.7377,-1.153672639
1bju,-6760.7927,-15632.1587,-2035.5836,45.4638,-6586.5969,-15786.1633,-1981.5357,45.8491,-182.7608,154.6369,-66.3523,2.7218,-14764.9562,2872.1608,-15632.1587,-2050.4221,45.4638,-14821.9822,2912.6941,-15786.1633,-1994.3622,45.8491,90.2896,-0.5263,154.6369,-66.5427,2.7218,-0.941169551
1bjv,-6664.8269,-15456.974,-2225.477,46.5337,-6488.4216,-15655.485,-2120.8318,46.6858,-188.3574,146.9592,-68.5318,3.3341,-14740.1238,2906.7031,-15456.974,-2236.3867,46.5337,-14791.378,2950.3661,-15655.485,-2132.9449,46.6858,79.4794,-1.8338,146.9592,-68.9801,3.3341,-1.0271967
1bm7,-15374.9911,-31106.0129,-6557.1471,89.0073,-15286.655,-31227.9452,-6417.9024,89.8357,-96.905,43.1886,-72.2692,2.3708,-41808.336,-4280.4426,-31106.0129,-6510.8878,89.0073,-41756.8818,-4248.7723,-31227.9452,-6370,89.8357,-23.517,1.5224,43.1886,-70.5988,2.3708,-1.210539683
1bma,-9203.0219,-15806.0651,-1954.6314,53.1103,-9270.8529,-15800.9895,-1899.1251,53.7874,44.9488,-24.6932,-63.6716,4.2235,-16796.8386,917.6974,-15806.0651,-1961.5812,53.1103,-16669.2867,987.2949,-15800.9895,-1909.3796,53.7874,-94.2376,-10.389,-24.6932,-63.379,4.2235,-0.914328014
1bn1,-9565.227,-19544.3439,-2535.4842,58.1779,-9218.4449,-19648.2809,-2558.4235,58.5527,-386.8347,121.746,-38.1234,2.8263,-24510.5246,-2534.3427,-19544.3439,-2490.0159,58.1779,-24602.4007,-2497.6071,-19648.2809,-2515.0652,58.5527,83.0315,-3.1485,121.746,-38.3923,2.8263,-1.340583751
