dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol)
pdbbind,refined,1ajv,guest-ligand,-1.226288618,NA,NA,NA,-221.6,-10.7,-175.9,-39.28,4.316,-17582.41,-1733.63,-13895.47,-2002,48.999,-17803.882,-1822.7999,-14133.36,-1895,47.162,-7175.348,8828.2,-14133.36,-1917,47.162,-138.5,69.809,-175.9,-36.69,4.316,-7116.99,8758.38,-13895.5,-2028.9,49,1.6721,0.128,
pdbbind,refined,1ajx,guest-ligand,-1.240876669,NA,NA,NA,-152.2,-13.2,-105.9,-37.16,4.0817,-17523.81,-1734.96,-13861.76,-1976,49.009,-17663.393,-1823.4003,-14014.25,-1873,47.181,-7109.814,8755.2,-14014.25,-1898,47.181,-53.66,81.644,-105.9,-33.47,4.0817,-7142.53,8673.59,-13861.8,-2003.37,49.01,11.1357,12.617,
pdbbind,refined,1alw,guest-ligand,-1.124924626,NA,NA,NA,-127.1,-1.925,-46.86,-80.14,1.8434,-31407.13,-3367.451,-21518.42,-6603,82.091,-31542.213,-3390.7516,-21534.36,-6699,81.682,-14278.94,13942,-21534.36,-6768,81.682,-43.32,83.208,-46.86,-81.51,1.8434,-14254.4,13858.4,-21518.4,-6676.42,82.09,-2.5956,-7.983,
pdbbind,refined,1amw,guest-ligand,-0.907756207,NA,NA,NA,352.5,-5.15,419.91,-65.07,2.8113,-40277.3,-4099.763,-30080.51,-6191,94.452,-39926.454,-4144.5454,-29688.67,-6187,93.517,-18477.99,17354,-29688.67,-6237,93.517,-771.2,-1128,419.91,-66.02,2.8113,-17746.2,18481.9,-30080.5,-6242.07,94.45,-0.2224,-1.654,
pdbbind,refined,1apv,guest-ligand,-1.318334746,NA,NA,NA,-250,-13.87,-194.8,-45.46,4.0719,-27830.49,-2134.909,-19691.08,-6068,63.474,-28002.602,-2215.1405,-19940.84,-5908,61.773,-9729.247,16128,-19940.84,-5978,61.773,-39.86,194.42,-194.8,-43.59,4.0719,-9784.02,15933.2,-19691.1,-6089.62,63.47,28.2715,77.888,
pdbbind,refined,1atl,guest-ligand,-1.102421988,NA,NA,NA,-192.6,-5.06,-104.4,-86.18,3.0226,-33324.79,-820.2654,-26476.76,-6117,89.408,-33413.756,-870.9656,-26303.92,-6328,88.783,-16835.39,15796,-26303.92,-6416,88.783,-89.62,98.772,-104.4,-86.99,3.0226,-16875.5,15697,-26476.8,-6185.21,89.41,84.0898,103.634,
pdbbind,refined,1avn,guest-ligand,-0.816585932,NA,NA,NA,-32.19,-0.913,39.048,-71.9,1.5746,-24627.55,-2457.728,-19568.6,-2660,58.668,-24660.446,-2468.8677,-19530.49,-2720,58.575,-9306.005,12934,-19530.49,-2768,58.575,-52.67,-18.8,39.048,-74.49,1.5746,-9263.9,12952.8,-19568.6,-2706.72,58.67,0.3383,-0.706,
pdbbind,refined,1ax0,guest-ligand,-0.684619803,NA,NA,NA,-164.7,-2.354,-120.5,-43.85,2.0526,-42155.7,-4513.251,-31535.86,-6206,99.112,-42322.241,-4539.7431,-31704.57,-6177,98.806,-15552.76,22429,-31704.57,-6376,98.806,-58.05,100.92,-120.5,-40.48,2.0526,-15513.2,22328.2,-31535.9,-6404.66,99.11,-5.6481,-1.841,
pdbbind,refined,1b05,guest-ligand,-1.177744635,NA,NA,NA,-355.4,-9.375,-315.2,-34.39,3.5701,-48473.3,-4465.277,-39251.68,-4853,96.609,-48847.973,-4560.8155,-39637.99,-4745,95.352,-20121.28,24280,-39637.99,-4859,95.352,34.755,379.99,-315.2,-33.6,3.5701,-20217.5,23900.4,-39251.7,-4962.84,96.61,-24.6985,-19.273,
pdbbind,refined,1b0h,guest-ligand,-1.141264516,NA,NA,NA,-363.3,-11.65,-318.9,-37.03,4.2939,-48519.39,-4443.477,-39199.41,-4976,98.996,-48908.34,-4554.6626,-39600,-4851,97.455,-20187.94,24283,-39600,-4968,97.455,30.746,381.92,-318.9,-36.54,4.2939,-20285.2,23900.7,-39199.4,-5085.41,99,-33.0216,-25.65,
pdbbind,refined,1b1h,guest-ligand,-1.170112023,NA,NA,NA,-463.2,-10.89,-356.3,-100.2,4.2143,-48373,-4539.729,-39200.51,-4731,98.345,-48854.094,-4646.8494,-39670.02,-4634,96.785,-20058.39,24253,-39670.02,-4739,96.785,-52.07,402.31,-356.3,-102.3,4.2143,-20075.9,23851.2,-39200.5,-4824.94,98.34,-26.6504,-17.894,
pdbbind,refined,1b2h,guest-ligand,-0.907756207,NA,NA,NA,-613.6,-10.27,-185,-422.3,3.8696,-48457.95,-4460.978,-38929.97,-5165,97.895,-49156.829,-4563.4099,-39955.42,-4735,96.523,-20367.86,24311,-39955.42,-4820,96.523,-166,447.4,-185,-432.3,3.8696,-20246.8,23863.8,-38930,-5278.49,97.9,-47.2219,-85.279,
pdbbind,refined,1b32,guest-ligand,-1.17605687,NA,NA,NA,-577.1,-10.37,-274.3,-296.3,3.93,-48333.26,-4555.037,-38899.8,-4976,97.694,-48991.745,-4657.5326,-39775.31,-4655,96.305,-20214.41,24207,-39775.31,-4742,96.305,-143,431.63,-274.3,-304.3,3.93,-20101.7,23775.4,-38899.8,-5074.99,97.69,-61.8356,-81.385,
pdbbind,refined,1b3f,guest-ligand,-1.158042651,NA,NA,NA,-572.2,-10.67,-154.1,-411.4,3.9339,-48223.74,-4555.921,-38775.1,-4990,97.223,-48847.851,-4662.5293,-39683.62,-4598,95.835,-20110.5,24166,-39683.62,-4689,95.835,-142.6,427.53,-154.1,-420.1,3.9339,-20036.7,23738.6,-38775.1,-5097.39,97.22,-27.1383,-51.911,
pdbbind,refined,1b3g,guest-ligand,-1.141264516,NA,NA,NA,-458.9,-9.903,-358.4,-94.4,3.7782,-48529.9,-4445.829,-39308.21,-4875,98.672,-48986.011,-4546.3326,-39769.43,-4768,97.289,-20213.14,24346,-39769.43,-4887,97.289,-45.67,405.39,-358.4,-96.43,3.7782,-20250.7,23940.6,-39308.2,-4981.77,98.67,-7.3706,2.789,
pdbbind,refined,1b3h,guest-ligand,-1.095696538,NA,NA,NA,-460.4,-11.53,-357.6,-95.38,4.1398,-48497.8,-4463.19,-39213.36,-4919,98.17,-48971.05,-4570.0006,-39687.6,-4810,96.701,-20210.32,24310,-39687.6,-4930,96.701,-47.48,403.3,-357.6,-97.28,4.1398,-20234.6,23907.2,-39213.4,-5026.51,98.17,-23.5206,-12.85,
pdbbind,refined,1b3l,guest-ligand,-1.063953599,NA,NA,NA,-338,-7.989,-300,-33.27,3.3527,-48253.9,-4416.022,-38748.87,-5189,100.47,-48603.181,-4502.6146,-39127.08,-5073,99.303,-20034.82,24160,-39127.08,-5167,99.303,30.758,360.44,-300,-32.99,3.3527,-20118.5,23799.1,-38748.9,-5269.29,100.5,-25.6816,-11.281,
pdbbind,refined,1b40,guest-ligand,-1.191078517,NA,NA,NA,-353.4,-10.63,-310.8,-35.97,4.0099,-48453.02,-4472.497,-39104.1,-4973,97.02,-48828.896,-4576.5988,-39497.08,-4851,95.735,-20074.99,24289,-39497.08,-4962,95.735,30.566,372.65,-310.8,-35.24,4.0099,-20162.8,23916.1,-39104.1,-5071.87,97.02,-36.2278,-22.476,
pdbbind,refined,1b46,guest-ligand,-0.998355659,NA,NA,NA,-321.2,-9.721,-284.1,-31,3.5755,-48500.69,-4473.077,-38972.92,-5152,97.571,-48844.614,-4569.3545,-39328.88,-5043,96.301,-20099.3,24281,-39328.88,-5148,96.301,48.129,359.65,-284.1,-31,3.5755,-20208.2,23921.7,-38972.9,-5254.55,97.57,-25.7855,-22.724,
pdbbind,refined,1b4h,guest-ligand,-1.018469274,NA,NA,NA,-607.7,-10.88,-175.8,-424.7,3.717,-48518.61,-4463.947,-39210.57,-4942,98.152,-49152.41,-4566.2429,-40046.33,-4637,96.83,-20330.4,24345,-40046.33,-4726,96.83,-169.7,437.88,-175.8,-435.5,3.717,-20250.7,23907.1,-39210.6,-5045.38,98.15,-1.4159,-26.1,
pdbbind,refined,1b4z,guest-ligand,-0.992646767,NA,NA,NA,-429.3,-9.994,-304.8,-118.2,3.6591,-48301.01,-4562.663,-38883.69,-4952,97.307,-48794.285,-4659.8573,-39470.27,-4760,96.011,-20056.85,24178,-39470.27,-4860,96.011,-34.64,387.7,-304.8,-121.2,3.6591,-20051.8,23789.9,-38883.7,-5055.36,97.31,-57.6103,-63.975,
pdbbind,refined,1b51,guest-ligand,-1.198450624,NA,NA,NA,-558.8,-9,-255,-298.2,3.4898,-48482.55,-4454.427,-39173.01,-4954,98.556,-49110.676,-4546.4213,-39966.98,-4695,97.302,-20372.7,24284,-39966.98,-4787,97.302,-152.5,404.5,-255,-305.5,3.4898,-20259,23879.5,-39173,-5064.03,98.56,-44.1943,-69.326,
pdbbind,refined,1b52,guest-ligand,-1.177744635,NA,NA,NA,-553.1,-9.511,-260.5,-286.7,3.6239,-48062.53,-4423.214,-39010.04,-4727,97.282,-48669.88,-4520.5411,-39766.7,-4479,95.98,-20167.32,24087,-39766.7,-4584,95.98,-156.6,393.41,-260.5,-293.2,3.6239,-20058.4,23694,-39010,-4839.67,97.28,-40.1361,-54.25,
pdbbind,refined,1b55,guest-ligand,-1.200888,NA,NA,NA,-416.2,1.0951,-153.4,-266.7,2.7733,-58293.46,-5167.443,-39193.98,-14100,167.62,-58734.487,-5186.0544,-40375.32,-13340,167.25,-28324.14,25386,-40375.32,-13503,167.25,-836.7,-419.6,-153.4,-266.5,2.7733,-27493.6,25806.1,-39194,-14273.3,167.6,-13.5465,-24.827,
pdbbind,refined,1b57,guest-ligand,-1.247664925,NA,NA,NA,-160.7,-0.751,-108.6,-53.01,1.6078,-64968.42,-6819.69,-50735.53,-7537,123.62,-65083.461,-6838.0481,-50875.82,-7493,123.44,-23343.83,35032,-50875.82,-7624,123.44,-194.5,-35.39,-108.6,-52.14,1.6078,-23209.8,35067.5,-50735.5,-7665.44,123.6,42.8629,45.659,
pdbbind,refined,1b58,guest-ligand,-1.131332009,NA,NA,NA,-580,-11.02,-272,-301.1,4.0785,-48370.16,-4453.069,-38928.28,-5087,98.394,-49017.644,-4558.8746,-39766.89,-4789,96.911,-20282.5,24264,-39766.89,-4876,96.911,-170.7,404.56,-272,-307.4,4.0785,-20152.4,23859,-38928.3,-5181.54,98.39,-54.1856,-67.484,
pdbbind,refined,1b5h,guest-ligand,-1.076054849,NA,NA,NA,-499.4,-9.709,-136.3,-356.9,3.5902,-48528.11,-4465.097,-39341.45,-4820,98.06,-49097.121,-4563.0439,-40092.5,-4538,96.768,-20241.21,24384,-40092.5,-4630,96.768,-65.16,432.54,-136.3,-365,3.5902,-20229.3,23951.9,-39341.4,-4937.82,98.06,-34.9879,-69.611,
pdbbind,refined,1b5i,guest-ligand,-1.17181657,NA,NA,NA,-346.9,-10.23,-298.9,-41.49,3.727,-48401.93,-4558.783,-39248.51,-4693,97.886,-48770.015,-4656.7924,-39635.17,-4575,96.56,-20044.47,24171,-39635.17,-4677,96.56,-33.33,303.8,-298.9,-41.91,3.727,-20071,23867.2,-39248.5,-4787.52,97.89,-27.9194,-21.185,
pdbbind,refined,1b5j,guest-ligand,-1.203315515,NA,NA,NA,-595.4,-9.872,-278.8,-310.6,3.8357,-48293.74,-4557.565,-38967.14,-4866,96.902,-48973.024,-4660.502,-39839.78,-4568,95.527,-20225.83,24177,-39839.78,-4658,95.527,-225.7,368.33,-278.8,-319.1,3.8357,-20035.7,23808.5,-38967.1,-4973.95,96.9,-57.495,-83.884,
pdbbind,refined,1b6h,guest-ligand,-1.234010733,NA,NA,NA,-570.9,-9.834,-280.8,-284,3.754,-48447.32,-4471.196,-39155.57,-4918,97.388,-49096.273,-4567.2341,-39992.3,-4633,96.06,-20296.86,24322,-39992.3,-4723,96.06,-141.3,427.97,-280.8,-292.2,3.754,-20196.8,23894,-39155.6,-5032.69,97.39,-44.9641,-78.053,
pdbbind,refined,1b6j,guest-ligand,-1.241634723,NA,NA,NA,-503.8,-23.02,-384.3,-101.4,4.8895,-16962.1,-1686.639,-13439.8,-1887,51.007,-17470.348,-1804.2042,-13912.83,-1802,48.761,-7226.47,8456,-13912.83,-1818,48.761,-153.9,328.53,-384.3,-103,4.8895,-7169.88,8127.51,-13439.8,-1908.6,51.01,2.7648,-4.448,
pdbbind,refined,1b6k,guest-ligand,-1.300746114,NA,NA,NA,-398.9,-23.02,-280.7,-99.94,4.791,-17103.38,-1670.932,-13403.15,-2080,51.034,-17557.353,-1788.5833,-13780.77,-2037,48.728,-7092.251,8696.3,-13780.77,-2056,48.728,-64.8,307.79,-280.7,-96.68,4.791,-7068.98,8388.49,-13403.1,-2105.36,51.03,-53.1023,-55.073,
pdbbind,refined,1b6l,guest-ligand,-1.269753309,NA,NA,NA,-264.6,-17.32,-160.1,-91.39,4.146,-17062.4,-1691.359,-13316.16,-2105,50.537,-17322.234,-1788.6352,-13517.23,-2065,48.659,-7075.894,8477.5,-13517.23,-2085,48.659,-134.6,112.67,-160.1,-91.36,4.146,-7032.76,8364.81,-13316.2,-2131.95,50.54,11.5098,4.766,
pdbbind,refined,1b7h,guest-ligand,-1.249163053,NA,NA,NA,-576.3,-9.832,-274.7,-295.7,3.9372,-48362.4,-4460.99,-39049.6,-4951,98.815,-49009.237,-4560.425,-39914.45,-4632,97.447,-20258.97,24289,-39914.45,-4731,97.447,-139.1,434.88,-274.7,-303.2,3.9372,-20161.6,23854.6,-39049.6,-5065.39,98.82,-47.873,-70.537,
pdbbind,refined,1b8n,guest-ligand,-1.411966924,NA,NA,NA,-49.66,-3.432,-1.435,-47.12,2.3313,-24391.54,-2632.345,-18983.18,-2835,58.948,-24475.666,-2676.8757,-19065.17,-2792,58.315,-11730.99,10093,-19065.17,-2818,58.315,-210.6,-167.3,-1.435,-44.18,2.3313,-11518.8,10260.7,-18983.2,-2855.31,58.95,-42.6887,-34.466,
pdbbind,refined,1b8o,guest-ligand,-1.41877229,NA,NA,NA,-179.1,-3.82,-87.75,-89.79,2.212,-24581.28,-2655.848,-19203.62,-2782,59.688,-24774.24,-2704.3657,-19462.02,-2667,59.007,-11607.69,10507,-19462.02,-2711,59.007,-138.4,35.624,-87.75,-88.5,2.212,-11481.5,10470.9,-19203.6,-2808.52,59.69,-32.4877,-13.86,
pdbbind,refined,1b8y,guest-ligand,-1.236308119,NA,NA,NA,-298.9,-1.257,-207,-93.72,3.1702,-14709.11,-1530.685,-10088.41,-3133,43.458,-14909.308,-1591.0855,-9992.958,-3368,42.361,-5816.6,7584.4,-9992.958,-3450,42.361,-151.2,147.54,-207,-94.84,3.1702,-5798.17,7436.88,-10088.4,-3190.09,43.46,73.6265,98.702,
pdbbind,refined,1b9j,guest-ligand,-1.071042289,NA,NA,NA,-346.4,-9.868,-306.7,-33.65,3.8457,-48290.78,-4540.136,-38915.64,-4934,98.618,-48656.298,-4637.4712,-39301.58,-4814,97.118,-19959.34,24166,-39301.58,-4921,97.118,32.091,368.92,-306.7,-33.96,3.8457,-20058.8,23797,-38915.6,-5038.76,98.62,-20.0982,-19.118,
pdbbind,refined,1bai,guest-ligand,-1.224732197,NA,NA,NA,-830.3,-26.78,-548,-261.7,6.3185,-21130.37,-2134.65,-16029.99,-3028,62.571,-21825.736,-2240.3492,-16740.18,-2906,60.299,-10443.86,9167.6,-16740.18,-2932,60.299,-260.4,547.55,-548,-266.2,6.3185,-10391.4,8620.07,-16030,-3044.05,62.57,129.0208,134.934,
pdbbind,refined,1bcd,guest-ligand,-1.297993815,NA,NA,NA,-125,-0.045,-54.56,-71.61,1.2592,-24752.76,-2474.83,-19700.17,-2636,58.722,-24820.797,-2492.9912,-19705.61,-2681,58.459,-9218.799,13167,-19705.61,-2738,58.459,43.772,171.65,-54.56,-74.57,1.2592,-9329.59,12995.1,-19700.2,-2683.21,58.72,48.9028,56.963,
pdbbind,refined,1bcu,guest-ligand,-0.712706053,NA,NA,NA,101.64,-2.141,152.65,-51.04,2.1652,-19674.91,761.4389,-16831.48,-3667,61.654,-19598.363,726.1147,-16804.49,-3581,61.351,-10507.95,9850.1,-16804.49,-3615,61.351,-143.8,-248,152.65,-50.62,2.1652,-10371.6,10098.1,-16831.5,-3699.86,61.65,-25.7332,-25.093,
